DATE,daily reported crimes
2003-01-01,183
2003-01-02,144
2003-01-03,156
2003-01-04,141
2003-01-05,119
2003-01-06,135
2003-01-07,150
2003-01-08,152
2003-01-09,120
2003-01-10,169
2003-01-11,127
2003-01-12,128
2003-01-13,161
2003-01-14,143
2003-01-15,129
2003-01-16,123
2003-01-17,135
2003-01-18,145
2003-01-19,148
2003-01-20,127
2003-01-21,119
2003-01-22,94
2003-01-23,132
2003-01-24,140
2003-01-25,137
2003-01-26,136
2003-01-27,128
2003-01-28,114
2003-01-29,109
2003-01-30,160
2003-01-31,153
2003-02-01,151
2003-02-02,140
2003-02-03,147
2003-02-04,113
2003-02-05,149
2003-02-06,132
2003-02-07,135
2003-02-08,136
2003-02-09,125
2003-02-10,117
2003-02-11,107
2003-02-12,119
2003-02-13,129
2003-02-14,127
2003-02-15,150
2003-02-16,120
2003-02-17,129
2003-02-18,115
2003-02-19,153
2003-02-20,125
2003-02-21,119
2003-02-22,132
2003-02-23,89
2003-02-24,113
2003-02-25,88
2003-02-26,98
2003-02-27,89
2003-02-28,98
2003-03-01,131
2003-03-02,119
2003-03-03,116
2003-03-04,109
2003-03-05,131
2003-03-06,121
2003-03-07,119
2003-03-08,109
2003-03-09,97
2003-03-10,114
2003-03-11,111
2003-03-12,118
2003-03-13,124
2003-03-14,127
2003-03-15,142
2003-03-16,139
2003-03-17,126
2003-03-18,110
2003-03-19,119
2003-03-20,144
2003-03-21,140
2003-03-22,118
2003-03-23,106
2003-03-24,133
2003-03-25,107
2003-03-26,105
2003-03-27,111
2003-03-28,129
2003-03-29,140
2003-03-30,156
2003-03-31,131
2003-04-01,148
2003-04-02,111
2003-04-03,145
2003-04-04,159
2003-04-05,174
2003-04-06,146
2003-04-07,122
2003-04-08,143
2003-04-09,155
2003-04-10,116
2003-04-11,180
2003-04-12,151
2003-04-13,159
2003-04-14,169
2003-04-15,132
2003-04-16,134
2003-04-17,132
2003-04-18,127
2003-04-19,149
2003-04-20,109
2003-04-21,109
2003-04-22,123
2003-04-23,112
2003-04-24,125
2003-04-25,126
2003-04-26,162
2003-04-27,125
2003-04-28,106
2003-04-29,121
2003-04-30,102
2003-05-01,168
2003-05-02,158
2003-05-03,147
2003-05-04,111
2003-05-05,120
2003-05-06,151
2003-05-07,144
2003-05-08,160
2003-05-09,160
2003-05-10,179
2003-05-11,119
2003-05-12,130
2003-05-13,139
2003-05-14,157
2003-05-15,158
2003-05-16,185
2003-05-17,163
2003-05-18,163
2003-05-19,141
2003-05-20,154
2003-05-21,125
2003-05-22,151
2003-05-23,168
2003-05-24,168
2003-05-25,136
2003-05-26,135
2003-05-27,121
2003-05-28,97
2003-05-29,108
2003-05-30,122
2003-05-31,151
2003-06-01,158
2003-06-02,120
2003-06-03,121
2003-06-04,129
2003-06-05,141
2003-06-06,153
2003-06-07,144
2003-06-08,145
2003-06-09,153
2003-06-10,141
2003-06-11,148
2003-06-12,159
2003-06-13,175
2003-06-14,143
2003-06-15,165
2003-06-16,155
2003-06-17,153
2003-06-18,153
2003-06-19,145
2003-06-20,208
2003-06-21,166
2003-06-22,123
2003-06-23,168
2003-06-24,115
2003-06-25,121
2003-06-26,120
2003-06-27,138
2003-06-28,135
2003-06-29,130
2003-06-30,117
2003-07-01,139
2003-07-02,118
2003-07-03,130
2003-07-04,142
2003-07-05,128
2003-07-06,109
2003-07-07,140
2003-07-08,137
2003-07-09,119
2003-07-10,128
2003-07-11,125
2003-07-12,130
2003-07-13,143
2003-07-14,137
2003-07-15,156
2003-07-16,115
2003-07-17,134
2003-07-18,137
2003-07-19,137
2003-07-20,147
2003-07-21,113
2003-07-22,109
2003-07-23,94
2003-07-24,115
2003-07-25,138
2003-07-26,117
2003-07-27,136
2003-07-28,117
2003-07-29,120
2003-07-30,122
2003-07-31,118
2003-08-01,171
2003-08-02,125
2003-08-03,116
2003-08-04,122
2003-08-05,138
2003-08-06,147
2003-08-07,139
2003-08-08,152
2003-08-09,178
2003-08-10,117
2003-08-11,126
2003-08-12,122
2003-08-13,129
2003-08-14,136
2003-08-15,149
2003-08-16,148
2003-08-17,134
2003-08-18,115
2003-08-19,101
2003-08-20,136
2003-08-21,120
2003-08-22,150
2003-08-23,145
2003-08-24,130
2003-08-25,123
2003-08-26,109
2003-08-27,101
2003-08-28,119
2003-08-29,133
2003-08-30,133
2003-08-31,147
2003-09-01,140
2003-09-02,111
2003-09-03,123
2003-09-04,123
2003-09-05,129
2003-09-06,145
2003-09-07,119
2003-09-08,137
2003-09-09,115
2003-09-10,130
2003-09-11,117
2003-09-12,146
2003-09-13,145
2003-09-14,133
2003-09-15,122
2003-09-16,131
2003-09-17,145
2003-09-18,128
2003-09-19,130
2003-09-20,141
2003-09-21,138
2003-09-22,126
2003-09-23,97
2003-09-24,84
2003-09-25,113
2003-09-26,128
2003-09-27,120
2003-09-28,134
2003-09-29,135
2003-09-30,129
2003-10-01,131
2003-10-02,124
2003-10-03,126
2003-10-04,163
2003-10-05,131
2003-10-06,108
2003-10-07,145
2003-10-08,116
2003-10-09,138
2003-10-10,150
2003-10-11,139
2003-10-12,148
2003-10-13,127
2003-10-14,129
2003-10-15,160
2003-10-16,152
2003-10-17,135
2003-10-18,152
2003-10-19,127
2003-10-20,145
2003-10-21,127
2003-10-22,147
2003-10-23,142
2003-10-24,154
2003-10-25,170
2003-10-26,168
2003-10-27,135
2003-10-28,141
2003-10-29,102
2003-10-30,105
2003-10-31,156
2003-11-01,146
2003-11-02,117
2003-11-03,120
2003-11-04,106
2003-11-05,118
2003-11-06,99
2003-11-07,164
2003-11-08,136
2003-11-09,133
2003-11-10,115
2003-11-11,126
2003-11-12,108
2003-11-13,110
2003-11-14,164
2003-11-15,160
2003-11-16,113
2003-11-17,110
2003-11-18,128
2003-11-19,133
2003-11-20,167
2003-11-21,129
2003-11-22,132
2003-11-23,133
2003-11-24,106
2003-11-25,94
2003-11-26,88
2003-11-27,103
2003-11-28,125
2003-11-29,127
